,origin,destination,Origin_city,Destination_city,Fly_date,year,month,name_x,origin_latitude,origin_longitude,name_y,destination_latitude,destination_longitude
14124,EWR,ORD,"Newark, NJ","Chicago, IL",2008-10-01,2008,10,Newark Liberty International Airport,40.692501,-74.168701,Chicago O'Hare International Airport,41.9786,-87.9048
1438297,DFW,IAH,"Dallas, TX","Houston, TX",1998-10-01,1998,10,Dallas Fort Worth International Airport,32.896801,-97.038002,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438
1913701,DFW,AUS,"Dallas, TX","Austin, TX",1998-06-01,1998,6,Dallas Fort Worth International Airport,32.896801,-97.038002,Austin Bergstrom International Airport,30.197535,-97.662015
1682995,SFO,JFK,"San Francisco, CA","New York, NY",1994-09-01,1994,9,San Francisco International Airport,37.61899948120117,-122.375,John F Kennedy International Airport,40.639447,-73.779317
1931591,EWR,TPA,"Newark, NJ","Tampa, FL",1994-12-01,1994,12,Newark Liberty International Airport,40.692501,-74.168701,Tampa International Airport,27.975500106811523,-82.533203125
1089309,DFW,EWR,"Dallas, TX","Newark, NJ",1990-07-01,1990,7,Dallas Fort Worth International Airport,32.896801,-97.038002,Newark Liberty International Airport,40.692501,-74.168701
1540591,SLC,PHX,"Salt Lake City, UT","Phoenix, AZ",2007-04-01,2007,4,Salt Lake City International Airport,40.785749,-111.979746,Phoenix Sky Harbor International Airport,33.435302,-112.005905
2028824,MCO,PHL,"Orlando, FL","Philadelphia, PA",2006-04-01,2006,4,Orlando International Airport,28.429399490356445,-81.30899810791016,Philadelphia International Airport,39.87189865112305,-75.24109649658203
3119256,BWI,ROC,"Baltimore, MD","Rochester, NY",1994-11-01,1994,11,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401
298415,SFO,LAS,"San Francisco, CA","Las Vegas, NV",1999-09-01,1999,9,San Francisco International Airport,37.61899948120117,-122.375,Harry Reid International Airport,36.083361,-115.151817
