,0,1,2
605,EWR_5,CLT_6,BOS_7
606,LGA_8,BOS_9,DCA_10
607,MCO_2,MIA_3,ATL_4
608,STL_5,ORD_6,LGA_7
609,ATL_8,CLE_9,BWI_10
610,DFW_8,SFO_9,STL_10
611,PIT_6,LAX_7,LAS_8
612,DCA_10,ORD_11,MCO_12
613,JFK_1,LAX_2,LAS_3
614,DCA_6,BOS_7,CLT_8
615,ORD_1,BWI_2,MCO_3
616,MSP_8,LGA_9,CLT_10
617,LGA_6,MCO_7,ATL_8
618,MCO_3,JFK_4,BOS_5
619,LAX_2,JFK_3,LAX_4
620,SEA_4,LAX_5,SFO_6
621,MCO_3,ATL_4,DFW_5
622,ATL_7,LGA_8,PIT_9
623,DCA_7,LGA_8,BWI_9
624,SEA_8,MEM_9,DFW_10
625,IAH_6,ATL_7,ORD_8
626,BOS_9,DFW_10,PHL_11
627,BOS_5,DTW_6,ATL_7
628,EWR_1,MIA_2,STL_3
629,DFW_1,CLT_2,EWR_3
630,STL_8,LAX_9,JFK_10
631,ORD_2,SLC_3,DFW_4
632,DFW_1,SFO_2,ATL_3
633,LAX_5,IAD_6,SFO_7
634,BWI_3,MCO_4,CLE_5
635,SEA_4,LAX_5,ORD_6
636,PHL_6,ORD_7,IND_8
637,ATL_2,IND_3,DTW_4
638,ORD_4,STL_5,JFK_6
639,SEA_6,LAX_7,SFO_8
640,JFK_10,LAX_11,SFO_12
641,PHX_9,LAX_10,JFK_11
642,ATL_3,LAX_4,BWI_5
643,MSP_7,MCO_8,CVG_9
644,PHX_5,BWI_6,MIA_7
645,ATL_4,DCA_5,LGA_6
646,PHX_8,IAH_9,ORD_10
647,CLE_2,IND_3,SFO_4
648,DFW_4,LAS_5,DFW_6
649,EWR_7,ORD_8,ATL_9
650,MIA_2,DFW_3,PIT_4
651,ATL_7,MIA_8,STL_9
652,BOS_5,DFW_6,IAH_7
653,LAX_1,SFO_2,LAX_3
654,DTW_7,DFW_8,EWR_9
655,MSP_3,MEM_4,PIT_5
656,MIA_8,ATL_9,LAX_10
657,BOS_9,PHL_10,MCO_11
658,LAS_8,JFK_9,BWI_10
659,BOS_10,PHX_11,JFK_12
660,MIA_8,CVG_9,LGA_10
661,CVG_5,PIT_6,BWI_7
662,MCO_2,ORD_3,LGA_4
663,DCA_10,MEM_11,DFW_12
664,JFK_6,MCO_7,EWR_8
665,IND_4,CVG_5,DCA_6
666,DFW_4,SLC_5,PHX_6
667,SFO_10,ORD_11,PHX_12
668,LAX_6,JFK_7,SFO_8
669,LAX_1,CVG_2,MIA_3
670,ATL_9,LAX_10,MIA_11
671,TPA_5,IAD_6,TPA_7
672,SEA_10,LAX_11,ATL_12
673,BWI_8,ORD_9,LAS_10
674,DTW_4,ORD_5,JFK_6
675,CVG_1,PHX_2,LAX_3
676,ATL_3,DCA_4,JFK_5
677,IAH_4,LAX_5,ORD_6
678,CLT_5,LGA_6,TPA_7
679,LGA_7,TPA_8,ORD_9
680,DTW_7,ORD_8,LGA_9
681,CLE_9,ATL_10,DCA_11
682,MCO_6,ATL_7,SFO_8
683,SFO_8,MSP_9,PHL_10
684,DCA_7,MIA_8,STL_9
685,LAS_1,PHX_2,IAH_3
686,IAD_1,LAX_2,PHL_3
687,ATL_3,CLT_4,MCO_5
688,ATL_9,DFW_10,DTW_11
689,ORD_10,DFW_11,MIA_12
690,CVG_1,PIT_2,ORD_3
691,LAX_1,MIA_2,ORD_3
692,EWR_7,IAD_8,DFW_9
693,EWR_6,ORD_7,MSP_8
694,STL_9,LGA_10,DFW_11
695,CVG_2,SLC_3,PHX_4
696,DFW_2,IAH_3,MEM_4
697,MSP_5,SEA_6,ATL_7
698,SFO_7,EWR_8,SFO_9
699,IAD_5,DFW_6,ATL_7
700,LAX_6,MIA_7,ATL_8
701,DFW_1,EWR_2,IAD_3
702,PHL_8,MCO_9,BOS_10
703,MIA_1,JFK_2,DCA_3
