origin,destination,count,color
MLU_41,SHV_42,3610,red
MLU_42,SHV_43,3537,red
MLU_43,SHV_44,3919,red
MLU_44,SHV_45,3683,red
MLU_45,SHV_46,3331,red
MLU_46,SHV_47,3265,red
MLU_47,SHV_48,3015,red
MLU_48,SHV_49,3289,red
MLU_49,SHV_50,2564,red
MLU_50,SHV_51,2326,red
MLU_51,SHV_52,2957,red
MLU_52,SHV_53,2520,red
MLU_53,SHV_54,3201,red
MLU_54,SHV_55,3474,red
MLU_55,SHV_56,3770,red
MLU_56,SHV_57,3172,red
MLU_57,SHV_58,2358,red
MLU_58,SHV_59,2031,red
MLU_59,SHV_60,2138,red
MLU_60,SHV_61,2325,red
MLU_61,SHV_62,1808,red
MLU_62,SHV_63,1518,red
MLU_63,SHV_64,2158,red
MLU_64,SHV_65,1860,red
MLU_65,SHV_66,2587,red
MLU_66,SHV_67,2661,red
MLU_67,SHV_68,2689,red
MLU_68,SHV_69,2351,red
MLU_69,SHV_70,2149,red
MLU_70,SHV_71,2471,red
MLU_71,SHV_72,2410,red
MLU_72,SHV_73,3098,red
MLU_73,SHV_74,2411,red
MLU_74,SHV_75,2413,red
MLU_75,SHV_76,2982,red
MLU_76,SHV_77,3015,red
MLU_77,SHV_78,3406,red
MLU_78,SHV_79,3766,red
MLU_79,SHV_80,3623,red
MLU_80,SHV_81,3658,red
MLU_81,SHV_82,2993,red
MLU_82,SHV_83,3078,red
MLU_83,SHV_84,3227,red
MLU_84,SHV_85,3539,red
MLU_85,SHV_86,3047,red
MLU_86,SHV_87,2947,red
MLU_87,SHV_88,3753,red
MLU_88,SHV_89,3266,red
MLU_89,SHV_90,3688,red
MLU_90,SHV_91,3855,red
MLU_91,SHV_92,4302,red
MLU_92,SHV_93,3767,red
MLU_93,SHV_94,3070,red
MLU_94,SHV_95,3443,red
MLU_95,SHV_96,3431,red
MLU_96,SHV_97,3350,red
MLU_97,SHV_98,2887,red
MLU_98,SHV_99,2753,red
MLU_99,SHV_100,3593,red
MLU_100,SHV_101,3252,red
MLU_101,SHV_102,3797,red
MLU_102,SHV_103,4132,red
MLU_103,SHV_104,4710,red
MLU_104,SHV_105,3971,red
MLU_105,SHV_106,3720,red
MLU_106,SHV_107,3667,red
MLU_107,SHV_108,3506,red
MLU_108,SHV_109,3623,red
MLU_109,SHV_110,3309,red
MLU_110,SHV_111,3229,red
MLU_111,SHV_112,3739,red
MLU_112,SHV_113,3503,red
MLU_113,SHV_114,3807,red
MLU_114,SHV_115,3987,red
MLU_115,SHV_116,4389,red
MLU_116,SHV_117,3662,red
MLU_117,SHV_118,3434,red
MLU_118,SHV_119,3464,red
MLU_119,SHV_120,3688,red
MLU_120,SHV_121,3455,red
MSY_4,SHV_5,142,red
MSY_5,SHV_6,127,red
MSY_12,SHV_13,15,red
MSY_17,SHV_18,107,red
MSY_22,SHV_23,133,red
MSY_29,SHV_30,147,red
MSY_30,SHV_31,1,red
MSY_36,SHV_37,202,red
MSY_61,SHV_62,1370,red
MSY_62,SHV_63,1438,red
